,Admin2,Province_State,Lat,Long_
291,ARABUTA,SANTA CATARINA,-27.1587,-52.1423
292,ARACAGI,PARAIBA,-6.8437399999999995,-35.3737
293,ARACAI,MINAS GERAIS,-19.1955,-44.2493
294,ARACAJU,SERGIPE,-10.9091,-37.0677
295,ARACARIGUAMA,SAO PAULO,-23.4366,-47.0608
296,ARACAS,BAHIA,-12.22,-38.2027
297,ARACATI,CEARA,-4.55826,-37.7679
298,ARACATU,BAHIA,-14.427999999999999,-41.4648
299,ARACATUBA,SAO PAULO,-21.2076,-50.4401
300,ARACI,BAHIA,-11.3253,-38.9584
301,ARACITABA,MINAS GERAIS,-21.3446,-43.3736
302,ARACOIABA,PERNAMBUCO,-7.7839100000000006,-35.0809
303,ARACOIABA,CEARA,-4.36872,-38.8125
304,ARACOIABA DA SERRA,SAO PAULO,-23.5029,-47.6166
305,ARACRUZ,ESPIRITO SANTO,-19.82,-40.2764
306,ARACU,GOIAS,-16.3563,-49.6804
307,ARACUAI,MINAS GERAIS,-16.8523,-42.0637
308,ARAGARCAS,GOIAS,-15.8955,-52.2372
309,ARAGOIANIA,GOIAS,-16.9087,-49.4476
310,ARAGOMINAS,TOCANTINS,-7.16005,-48.5291
311,ARAGUACEMA,TOCANTINS,-8.80755,-49.5569
312,ARAGUACU,TOCANTINS,-12.9289,-49.8231
313,ARAGUAIANA,MATO GROSSO,-15.7291,-51.8341
314,ARAGUAINA,TOCANTINS,-7.19238,-48.2044
315,ARAGUAINHA,MATO GROSSO,-16.857,-53.0318
316,ARAGUANA,TOCANTINS,-6.58225,-48.6395
317,ARAGUANA,MARANHAO,-2.94644,-45.6589
318,ARAGUAPAZ,GOIAS,-15.0909,-50.6315
319,ARAGUARI,MINAS GERAIS,-18.6456,-48.1934
320,ARAGUATINS,TOCANTINS,-5.64659,-48.1232
321,ARAIOSES,MARANHAO,-2.89091,-41.905
322,ARAL MOREIRA,MATO GROSSO DO SUL,-22.9385,-55.6334
323,ARAMARI,BAHIA,-12.0884,-38.4969
324,ARAMBARE,RIO GRANDE DO SUL,-30.9092,-51.5046
325,ARAME,MARANHAO,-4.88347,-46.0032
326,ARAMINA,SAO PAULO,-20.0882,-47.7873
327,ARANDU,SAO PAULO,-23.1386,-49.0487
328,ARANTINA,MINAS GERAIS,-21.9102,-44.2555
329,ARAPEI,SAO PAULO,-22.6717,-44.4441
330,ARAPIRACA,ALAGOAS,-9.75487,-36.6615
331,ARAPOEMA,TOCANTINS,-7.65463,-49.0637
332,ARAPONGA,MINAS GERAIS,-20.6686,-42.5178
333,ARAPONGAS,PARANA,-23.4153,-51.4259
334,ARAPORA,MINAS GERAIS,-18.4357,-49.1847
335,ARAPOTI,PARANA,-24.1548,-49.8285
336,ARAPUA,PARANA,-24.3132,-51.7856
337,ARAPUA,MINAS GERAIS,-19.0268,-46.1484
338,ARAPUTANGA,MATO GROSSO,-15.4641,-58.3425
339,ARAQUARI,SANTA CATARINA,-26.3754,-48.7188
340,ARARA,PARAIBA,-6.828130000000001,-35.7552
341,ARARANGUA,SANTA CATARINA,-28.9356,-49.4918
342,ARARAQUARA,SAO PAULO,-21.7845,-48.178000000000004
343,ARARAS,SAO PAULO,-22.3572,-47.3842
344,ARARENDA,CEARA,-4.74567,-40.830999999999996
345,ARARI,MARANHAO,-3.45214,-44.7665
346,ARARICA,RIO GRANDE DO SUL,-29.6168,-50.9291
347,ARARIPE,CEARA,-7.213189999999999,-40.1359
348,ARARIPINA,PERNAMBUCO,-7.57073,-40.494
349,ARARUAMA,RIO DE JANEIRO,-22.8697,-42.3326
350,ARARUNA,PARANA,-23.9315,-52.5021
351,ARARUNA,PARAIBA,-6.5484800000000005,-35.7498
352,ARATACA,BAHIA,-15.2651,-39.419000000000004
353,ARATIBA,RIO GRANDE DO SUL,-27.3978,-52.2975
354,ARATUBA,CEARA,-4.4122900000000005,-39.0471
355,ARATUIPE,BAHIA,-13.0716,-39.0038
356,ARAUA,SERGIPE,-11.2614,-37.6201
357,ARAUCARIA,PARANA,-25.5859,-49.4047
358,ARAUJOS,MINAS GERAIS,-19.9405,-45.1671
359,ARAXA,MINAS GERAIS,-19.5902,-46.9438
360,ARCEBURGO,MINAS GERAIS,-21.359,-46.9401
361,ARCO-IRIS,SAO PAULO,-21.7728,-50.466
362,ARCOS,MINAS GERAIS,-20.2863,-45.5373
363,ARCOVERDE,PERNAMBUCO,-8.415189999999999,-37.0577
364,AREADO,MINAS GERAIS,-21.3572,-46.1421
365,AREAL,RIO DE JANEIRO,-22.2283,-43.1118
366,AREALVA,SAO PAULO,-22.031,-48.9135
367,AREIA,PARAIBA,-6.96396,-35.6977
368,AREIA BRANCA,RIO GRANDE DO NORTE,-4.95254,-37.1252
369,AREIA BRANCA,SERGIPE,-10.758,-37.3251
370,AREIA DE BARAUNAS,PARAIBA,-7.11702,-36.9404
371,AREIAL,PARAIBA,-7.04789,-35.9313
372,AREIAS,SAO PAULO,-22.5786,-44.6992
373,AREIOPOLIS,SAO PAULO,-22.6672,-48.6681
374,ARENAPOLIS,MATO GROSSO,-14.4472,-56.8437
375,ARENOPOLIS,GOIAS,-16.3837,-51.5563
376,ARES,RIO GRANDE DO NORTE,-6.1883099999999995,-35.1608
377,ARGIRITA,MINAS GERAIS,-21.6083,-42.8292
